,period,detailed_descriptions
0,This Afternoon,"Partly sunny, with a high near 42. East southeast wind around 7 mph. "
1,Tonight,"Showers likely, mainly after 4am.  Cloudy, with a low around 33. East southeast wind 7 to 11 mph.  Chance of precipitation is 60%. New precipitation amounts of less than a tenth of an inch possible. "
2,Sunday,"Showers and possibly a thunderstorm.  High near 56. East southeast wind 7 to 13 mph, with gusts as high as 20 mph.  Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible. "
3,Sunday Night,"Showers likely and possibly a thunderstorm, then rain and possibly a thunderstorm after 7pm.  Low around 42. East southeast wind 6 to 13 mph, with gusts as high as 24 mph.  Chance of precipitation is 90%. New rainfall amounts between a half and three quarters of an inch possible. "
4,Monday,"A chance of rain before 1pm.  Mostly cloudy, with a high near 49. Breezy, with a southwest wind 16 to 20 mph, with gusts as high as 31 mph.  Chance of precipitation is 40%."
5,Monday Night,"A chance of snow after 1am.  Cloudy, with a low around 31. Chance of precipitation is 40%."
6,Tuesday,Snow.  High near 36. Breezy.  Chance of precipitation is 80%.
7,Tuesday Night,"Cloudy, with a low around 28."
8,New Year's Day,"Mostly cloudy, with a high near 38."
9,Wednesday Night,"Mostly cloudy, with a low around 29."
10,Thursday,"A chance of rain.  Mostly cloudy, with a high near 44."
11,Thursday Night,"A chance of rain and snow.  Cloudy, with a low around 34."
12,Friday,"A chance of rain and snow.  Mostly cloudy, with a high near 44."
